no_nodes,gas
3,111780
4,133906
5,133906
6,156312
7,156312
8,179064
9,179064
10,202067
11,202067
12,225379
13,225379
14,248947
15,248947
16,272892
17,272892
18,297081
19,297081
20,321545
21,321545
22,346234
23,346234
24,371355
25,371355
26,396713
27,396713
28,422363
29,422363
30,448210
31,448210
32,474523
33,474523
34,501050
35,501050
36,527852
37,527852
38,554827
39,554827
40,582333
41,582333
42,610029
43,610029
44,638017
45,638017
46,666154
47,666154
48,694870
49,694870
50,723735
51,723735
52,752881
53,752881
54,782150
55,782150
56,812048
57,812048
58,842065
59,842065
60,872379
61,872379
62,902788
63,902788
