no_nodes,gas
3,95664
4,109389
5,109389
6,123085
7,123085
8,136806
9,136806
10,150514
11,150514
12,164240
13,164240
14,177930
15,177930
16,191663
17,191663
18,205389
19,205389
20,219115
21,219115
22,232753
23,232753
24,246552
25,246552
26,260279
27,260279
28,273994
29,273994
30,287609
31,287609
32,301432
33,301432
34,315119
35,315119
36,328847
37,328847
38,342443
39,342443
40,356274
41,356274
42,369991
43,369991
44,383720
45,383720
46,397305
47,397305
48,411161
49,411161
50,424890
51,424890
52,438620
53,438620
54,452152
55,452152
56,466050
57,466050
58,479763
59,479763
60,493477
61,493477
62,506998
63,506998
