id,gas
0,245977
1,245941
2,273977
3,245965
4,245977
5,230991
6,260965
7,244991
8,316977
9,272991
10,241791
11,241791
12,274977
13,245953
14,245977
15,245965
16,259965
17,230991
18,260965
19,245965
20,287977
21,244979
22,260977
23,245965
24,273977
25,230991
26,316977
27,259977
28,273977
29,273977
30,258991
31,260977
32,230991
33,260977
34,259977
35,245965
36,245977
37,230991
38,255791
39,302977
40,245977
41,245965
42,245977
43,244991
44,241779
45,288977
46,230991
47,260977
48,244991
49,260965
50,245977
51,245977
52,273977
53,314979
54,260977
55,301977
56,245965
57,245977
58,245965
59,314991
60,260977
61,259977
62,244991
63,288977
64,230991
65,241779
66,283779
67,260977
68,230991
69,260977
70,273977
71,245977
72,245965
73,230991
74,288977
75,230979
76,260977
77,230979
78,260977
79,245965
80,245977
81,230991
82,260977
83,315977
84,259977
85,273977
86,245977
87,245977
88,245977
89,245977
90,245977
91,259977
92,245977
93,230967
94,311779
95,260965
96,273977
97,245965
98,273977
99,244991
100,260977
